date,blsfood
1967-01-01,1720
1967-02-01,1702
1967-03-01,1707
1967-04-01,1708
1967-05-01,1727
1967-06-01,1789
1967-07-01,1829
1967-08-01,1880
1967-09-01,1920
1967-10-01,1872
1967-11-01,1811
1967-12-01,1771
1968-01-01,1706
1968-02-01,1685
1968-03-01,1690
1968-04-01,1700
1968-05-01,1711
1968-06-01,1788
1968-07-01,1819
1968-08-01,1919
1968-09-01,1914
1968-10-01,1867
1968-11-01,1804
1968-12-01,1776
1969-01-01,1719
1969-02-01,1710
1969-03-01,1707
1969-04-01,1711
1969-05-01,1724
1969-06-01,1784
1969-07-01,1827
1969-08-01,1936
1969-09-01,1921
1969-10-01,1853
1969-11-01,1820
1969-12-01,1778
1970-01-01,1731
1970-02-01,1727
1970-03-01,1723
1970-04-01,1711
1970-05-01,1727
1970-06-01,1787
1970-07-01,1817
1970-08-01,1916
1970-09-01,1900
1970-10-01,1844
1970-11-01,1795
1970-12-01,1758
1971-01-01,1708
1971-02-01,1693
1971-03-01,1689
1971-04-01,1685
1971-05-01,1705
1971-06-01,1761
1971-07-01,1811
1971-08-01,1898
1971-09-01,1895
1971-10-01,1816
1971-11-01,1783
1971-12-01,1744
1972-01-01,1697
1972-02-01,1675
1972-03-01,1682
1972-04-01,1675
1972-05-01,1690
1972-06-01,1761
1972-07-01,1785
1972-08-01,1862
1972-09-01,1860
1972-10-01,1803
1972-11-01,1747
1972-12-01,1707
1973-01-01,1661
1973-02-01,1654
1973-03-01,1651
1973-04-01,1641
1973-05-01,1651
1973-06-01,1705
1973-07-01,1738
1973-08-01,1811
1973-09-01,1821
1973-10-01,1786
1973-11-01,1749
1973-12-01,1711
1974-01-01,1666
1974-02-01,1649
1974-03-01,1661
1974-04-01,1643
1974-05-01,1659
1974-06-01,1696
1974-07-01,1722
1974-08-01,1822
1974-09-01,1828
1974-10-01,1767
1974-11-01,1707
1974-12-01,1660
1975-01-01,1594
1975-02-01,1571
1975-03-01,1575
1975-04-01,1572
1975-05-01,1593
1975-06-01,1643
1975-07-01,1681
1975-08-01,1780
1975-09-01,1791
1975-10-01,1742
1975-11-01,1692
1975-12-01,1655
1976-01-01,1619
1976-02-01,1615
1976-03-01,1605
1976-04-01,1612
1976-05-01,1637
1976-06-01,1685
1976-07-01,1728
1976-08-01,1813
1976-09-01,1817
1976-10-01,1754
1976-11-01,1710
1976-12-01,1672
1977-01-01,1638
1977-02-01,1632
1977-03-01,1638
1977-04-01,1645
1977-05-01,1658
1977-06-01,1717
1977-07-01,1747
1977-08-01,1829
1977-09-01,1840
1977-10-01,1765
1977-11-01,1725
1977-12-01,1698
1978-01-01,1665
1978-02-01,1655
1978-03-01,1668
1978-04-01,1664
1978-05-01,1669
1978-06-01,1722
1978-07-01,1749
1978-08-01,1823
1978-09-01,1830
1978-10-01,1774
1978-11-01,1746
1978-12-01,1724
1979-01-01,1685
1979-02-01,1666
1979-03-01,1676
1979-04-01,1666
1979-05-01,1679
1979-06-01,1728
1979-07-01,1750
1979-08-01,1829
1979-09-01,1835
1979-10-01,1782
1979-11-01,1736
1979-12-01,1706