date,maxtemp
1979-01-01,10.4
1979-01-02,11.5
1979-01-03,9.7
1979-01-04,13.5
1979-01-05,13.6
1979-01-06,11
1979-01-07,7.4
1979-01-08,15.1
1979-01-09,16.5
1979-01-10,16.6
1979-01-11,11.1
1979-01-12,9.2
1979-01-13,3.5
1979-01-14,6.3
1979-01-15,9.7
1979-01-16,10.6
1979-01-17,10.1
1979-01-18,12.5
1979-01-19,7.2
1979-01-20,8.2
1979-01-21,14
1979-01-22,8.2
1979-01-23,11.5
1979-01-24,13.7
1979-01-25,11.7
1979-01-26,15.8
1979-01-27,14.3
1979-01-28,7.8
1979-01-29,5.5
1979-01-30,12.4
1979-01-31,9.8
1979-02-01,17.6
1979-02-02,10.2
1979-02-03,10.7
1979-02-04,12
1979-02-05,5.9
1979-02-06,14
1979-02-07,12.6
1979-02-08,11.8
1979-02-09,11.2
1979-02-10,11
1979-02-11,16
1979-02-12,15
1979-02-13,14.8
1979-02-14,14.6
1979-02-15,13
1979-02-16,11.5
1979-02-17,8.8
1979-02-18,13.1
1979-02-19,13.6
1979-02-20,13.5
1979-02-21,19.9
1979-02-22,17.8
1979-02-23,10.4
1979-02-24,10.4
1979-02-25,12.9
1979-02-26,8.2
1979-02-27,7.9
1979-02-28,12
1979-03-01,9.8
1979-03-02,9.2
1979-03-03,10.4
1979-03-04,6.2
1979-03-05,10
1979-03-06,12.8
1979-03-07,14.2
1979-03-08,11.7
1979-03-09,15.7
1979-03-10,16.5
1979-03-11,12.8
1979-03-12,7.9
1979-03-13,8.3
1979-03-14,11.2
1979-03-15,14.3
1979-03-16,13.7
1979-03-17,16.5
1979-03-18,13.9
1979-03-19,11.8
1979-03-20,13.7
1979-03-21,12.1
1979-03-22,15.8
1979-03-23,12.9
1979-03-24,16.3
1979-03-25,16.2
1979-03-26,15.7
1979-03-27,17.1
1979-03-28,17.6
1979-03-29,20.4
1979-03-30,22.8
1979-03-31,21.7
1979-04-01,15.7
1979-04-02,10.9
1979-04-03,16.8
1979-04-04,15.5
1979-04-05,10.7
1979-04-06,16.5
1979-04-07,18.5
1979-04-08,20.1
1979-04-09,22.8
1979-04-10,19.5
1979-04-11,21.9
1979-04-12,19.1
1979-04-13,15.2
1979-04-14,22.4
1979-04-15,16.7
1979-04-16,16.9
1979-04-17,16.9
1979-04-18,16.6
1979-04-19,13.9
1979-04-20,12.8
1979-04-21,18.6
1979-04-22,16.7
1979-04-23,21.4
1979-04-24,24
1979-04-25,23.4
1979-04-26,17.2
1979-04-27,14.8
1979-04-28,14.3
1979-04-29,19.3
1979-04-30,22.3
1979-05-01,20.2
1979-05-02,16.8
1979-05-03,22.4
1979-05-04,21.5
1979-05-05,22
1979-05-06,22.3
1979-05-07,21
1979-05-08,19.9
1979-05-09,25.5
1979-05-10,21.8
1979-05-11,23.9
1979-05-12,20.8
1979-05-13,20.6
1979-05-14,17.3
1979-05-15,21.7
1979-05-16,15.8
1979-05-17,17.9
1979-05-18,20.1
1979-05-19,22.6
1979-05-20,24
1979-05-21,25.6
1979-05-22,26.2
1979-05-23,25.7
1979-05-24,24.7
1979-05-25,27.2
1979-05-26,26
1979-05-27,22.9
1979-05-28,27.9
1979-05-29,25.7
1979-05-30,23.7
1979-05-31,22.9
1979-06-01,24.4
1979-06-02,24
1979-06-03,24.8
1979-06-04,25.6
1979-06-05,25.7
1979-06-06,26
1979-06-07,25.1
1979-06-08,28.4
1979-06-09,28.6
1979-06-10,28.7
1979-06-11,26
1979-06-12,23.1
1979-06-13,24.6
1979-06-14,20.3
1979-06-15,26.4
1979-06-16,27
1979-06-17,29.7
1979-06-18,31.4
1979-06-19,30.7
1979-06-20,31.1
1979-06-21,31.6
1979-06-22,33.3
1979-06-23,33
1979-06-24,33.4
1979-06-25,34.1
1979-06-26,32.1
1979-06-27,27.4
1979-06-28,30.4
1979-06-29,26.5
1979-06-30,24.4
1979-07-01,28.9
1979-07-02,31.8
1979-07-03,28.6
1979-07-04,23.8
1979-07-05,28.4
1979-07-06,30.6
1979-07-07,29.1
1979-07-08,27.1
1979-07-09,29.3
1979-07-10,29
1979-07-11,28.7
1979-07-12,31.6
1979-07-13,26.3
1979-07-14,21.7
1979-07-15,24.4
1979-07-16,23.6
1979-07-17,25.1
1979-07-18,22.7
1979-07-19,26
1979-07-20,23.9
1979-07-21,27.7
1979-07-22,29.4
1979-07-23,31.9
1979-07-24,32.9
1979-07-25,31.6
1979-07-26,30.9
1979-07-27,30
1979-07-28,30.2
1979-07-29,32.3
1979-07-30,32.4
1979-07-31,34.3
1979-08-01,32.8
1979-08-02,33.5
1979-08-03,30.7
1979-08-04,28.6
1979-08-05,32.7
1979-08-06,32.8
1979-08-07,32.4
1979-08-08,31
1979-08-09,32.2
1979-08-10,32.6
1979-08-11,30.5
1979-08-12,32.1
1979-08-13,32.7
1979-08-14,33.3
1979-08-15,31.7
1979-08-16,32.8
1979-08-17,33.1
1979-08-18,32.5
1979-08-19,33.1
1979-08-20,28.4
1979-08-21,26.4
1979-08-22,32.2
1979-08-23,31.3
1979-08-24,30.5
1979-08-25,27.1
1979-08-26,30.3
1979-08-27,33.5
1979-08-28,29.4
1979-08-29,26.9
1979-08-30,24.2
1979-08-31,28.4
1979-09-01,28.4
1979-09-02,27.3
1979-09-03,30.5
1979-09-04,30.1
1979-09-05,32.7
1979-09-06,29.9
1979-09-07,29.6
1979-09-08,31.9
1979-09-09,28.3
1979-09-10,28.6
1979-09-11,28.3
1979-09-12,27.4
1979-09-13,28
1979-09-14,28.5
1979-09-15,29.7
1979-09-16,26.3
1979-09-17,23.7
1979-09-18,28.4
1979-09-19,31.2
1979-09-20,27.8
1979-09-21,27.3
1979-09-22,30
1979-09-23,31.5
1979-09-24,22.2
1979-09-25,20.4
1979-09-26,21.4
1979-09-27,23.4
1979-09-28,21.9
1979-09-29,20.4
1979-09-30,23.7
1979-10-01,32.6
1979-10-02,24.4
1979-10-03,21.2
1979-10-04,24.3
1979-10-05,25.6
1979-10-06,21.1
1979-10-07,15.9
1979-10-08,26.3
1979-10-09,23.2
1979-10-10,24.1
1979-10-11,22.9
1979-10-12,23.7
1979-10-13,22.5
1979-10-14,23.2
1979-10-15,23.8
1979-10-16,23.9
1979-10-17,24.1
1979-10-18,22.1
1979-10-19,26.4
1979-10-20,25.9
1979-10-21,25.5
1979-10-22,20.8
1979-10-23,20.8
1979-10-24,18.2
1979-10-25,20.2
1979-10-26,22
1979-10-27,23.3
1979-10-28,21.9
1979-10-29,20.5
1979-10-30,22.8
1979-10-31,21.2
1979-11-01,21.2
1979-11-02,25.3
1979-11-03,21.3
1979-11-04,19.4
1979-11-05,25.2
1979-11-06,23.1
1979-11-07,19.2
1979-11-08,20.2
1979-11-09,18.9
1979-11-10,16.2
1979-11-11,24.1
1979-11-12,22.6
1979-11-13,18.3
1979-11-14,13.7
1979-11-15,13.8
1979-11-16,16.7
1979-11-17,16.4
1979-11-18,13.2
1979-11-19,15.2
1979-11-20,13.7
1979-11-21,14.8
1979-11-22,13.7
1979-11-23,17.4
1979-11-24,10.7
1979-11-25,11.6
1979-11-26,15.3
1979-11-27,15.7
1979-11-28,12.5
1979-11-29,20.6
1979-11-30,16.9
1979-12-01,13.4
1979-12-02,12.7
1979-12-03,14.8
1979-12-04,12.4
1979-12-05,18.7
1979-12-06,18.6
1979-12-07,15
1979-12-08,15.5
1979-12-09,14.9
1979-12-10,13.9
1979-12-11,12.1
1979-12-12,10
1979-12-13,12.5
1979-12-14,12.3
1979-12-15,13.4
1979-12-16,13.4
1979-12-17,12.3
1979-12-18,12.4
1979-12-19,11.9
1979-12-20,17.6
1979-12-21,17.4
1979-12-22,17.4
1979-12-23,13.9
1979-12-24,7.8
1979-12-25,14.1
1979-12-26,11.3
1979-12-27,15.8
1979-12-28,12.4
1979-12-29,11.6
1979-12-30,13.9
1979-12-31,16.9
1980-01-01,10.1
1980-01-02,7.8
1980-01-03,9.9
1980-01-04,13.9
1980-01-05,9.3
1980-01-06,11.5
1980-01-07,12.1
1980-01-08,6.7
1980-01-09,6.7
1980-01-10,11.7
1980-01-11,7.6
1980-01-12,7
1980-01-13,3.9
1980-01-14,11.5
1980-01-15,10.4
1980-01-16,10.4
1980-01-17,10.1
1980-01-18,8.7
1980-01-19,8.7
1980-01-20,12.5
1980-01-21,8
1980-01-22,7.3
1980-01-23,8.9
1980-01-24,9.9
1980-01-25,9.1
1980-01-26,10.8
1980-01-27,14.3
1980-01-28,18.8
1980-01-29,11.1
1980-01-30,10
1980-01-31,10.4
1980-02-01,8.2
1980-02-02,9.5
1980-02-03,10.3
1980-02-04,9.5
1980-02-05,7.6
1980-02-06,6.8
1980-02-07,7.5
1980-02-08,6.3
1980-02-09,9.1
1980-02-10,10
1980-02-11,11.1
1980-02-12,10.5
1980-02-13,9.8
1980-02-14,6.2
1980-02-15,9.1
1980-02-16,7
1980-02-17,7.5
1980-02-18,9.5
1980-02-19,5.5
1980-02-20,11.3
1980-02-21,8.7
1980-02-22,8.7
1980-02-23,8.8
1980-02-24,12.8
1980-02-25,12.1
1980-02-26,12
1980-02-27,12.8
1980-02-28,6.1
1980-02-29,13.3
1980-03-01,14.2
1980-03-02,11.1
1980-03-03,7.2
1980-03-04,12.2
1980-03-05,8.9
1980-03-06,7.3
1980-03-07,7.2
1980-03-08,15.2
1980-03-09,8.3
1980-03-10,16.9
1980-03-11,8.3
1980-03-12,10
1980-03-13,12.2
1980-03-14,8.3
1980-03-15,12.1
1980-03-16,11.4
1980-03-17,13
1980-03-18,11.5
1980-03-19,6.3
1980-03-20,16.1
1980-03-21,12.5
1980-03-22,8.8
1980-03-23,11.6
1980-03-24,11.5
1980-03-25,11.1
1980-03-26,11.8
1980-03-27,15.7
1980-03-28,15.3
1980-03-29,17.7
1980-03-30,21.2
1980-03-31,18.1
1980-04-01,17
1980-04-02,15.4
1980-04-03,13
1980-04-04,17.2
1980-04-05,21.9
1980-04-06,20
1980-04-07,20.2
1980-04-08,17.2
1980-04-09,19.3
1980-04-10,14.7
1980-04-11,17.4
1980-04-12,21.3
1980-04-13,16.9
1980-04-14,21.4
1980-04-15,9.6
1980-04-16,11.4
1980-04-17,11.8
1980-04-18,16.5
1980-04-19,19
1980-04-20,19.3
1980-04-21,20.7
1980-04-22,17
1980-04-23,20.1
1980-04-24,17.2
1980-04-25,14.9
1980-04-26,16.7
1980-04-27,17.1
1980-04-28,24
1980-04-29,21
1980-04-30,17.7