date,whard
1967-01-01,626
1967-02-01,614
1967-03-01,689
1967-04-01,686
1967-05-01,723
1967-06-01,778
1967-07-01,711
1967-08-01,824
1967-09-01,793
1967-10-01,831
1967-11-01,775
1967-12-01,689
1968-01-01,692
1968-02-01,718
1968-03-01,757
1968-04-01,769
1968-05-01,791
1968-06-01,809
1968-07-01,836
1968-08-01,878
1968-09-01,856
1968-10-01,935
1968-11-01,850
1968-12-01,763
1969-01-01,761
1969-02-01,796
1969-03-01,830
1969-04-01,902
1969-05-01,910
1969-06-01,932
1969-07-01,931
1969-08-01,908
1969-09-01,934
1969-10-01,995
1969-11-01,865
1969-12-01,822
1970-01-01,763
1970-02-01,778
1970-03-01,841
1970-04-01,845
1970-05-01,863
1970-06-01,952
1970-07-01,909
1970-08-01,899
1970-09-01,952
1970-10-01,963
1970-11-01,893
1970-12-01,831
1971-01-01,773
1971-02-01,803
1971-03-01,918
1971-04-01,967
1971-05-01,963
1971-06-01,1065
1971-07-01,1014
1971-08-01,1051
1971-09-01,1054
1971-10-01,1051
1971-11-01,1039
1971-12-01,960
1972-01-01,930
1972-02-01,956
1972-03-01,1072
1972-04-01,1023
1972-05-01,1136
1972-06-01,1181
1972-07-01,1088
1972-08-01,1247
1972-09-01,1164
1972-10-01,1251
1972-11-01,1218
1972-12-01,1062
1973-01-01,1114
1973-02-01,1088
1973-03-01,1253
1973-04-01,1254
1973-05-01,1354
1973-06-01,1349
1973-07-01,1305
1973-08-01,1420
1973-09-01,1313
1973-10-01,1481
1973-11-01,1387
1973-12-01,1284
1974-01-01,1310
1974-02-01,1262
1974-03-01,1446
1974-04-01,1573
1974-05-01,1634
1974-06-01,1612
1974-07-01,1591
1974-08-01,1640
1974-09-01,1590
1974-10-01,1696
1974-11-01,1456
1974-12-01,1296
1975-01-01,1311
1975-02-01,1232
1975-03-01,1274
1975-04-01,1388
1975-05-01,1374
1975-06-01,1443
1975-07-01,1466
1975-08-01,1454
1975-09-01,1538
1975-10-01,1587
1975-11-01,1406
1975-12-01,1341
1976-01-01,1351
1976-02-01,1367
1976-03-01,1553
1976-04-01,1588
1976-05-01,1591
1976-06-01,1703
1976-07-01,1643
1976-08-01,1711
1976-09-01,1731
1976-10-01,1678
1976-11-01,1678
1976-12-01,1580
1977-01-01,1515
1977-02-01,1544
1977-03-01,1817
1977-04-01,1838
1977-05-01,1925
1977-06-01,2017
1977-07-01,1898
1977-08-01,2068
1977-09-01,1961
1977-10-01,2027
1977-11-01,1974
1977-12-01,1820
1978-01-01,1796
1978-02-01,1708
1978-03-01,2021
1978-04-01,2102
1978-05-01,2306
1978-06-01,2360
1978-07-01,2247
1978-08-01,2412
1978-09-01,2159
1978-10-01,2455
1978-11-01,2250
1978-12-01,2057
1979-01-01,2142
1979-02-01,1984
1979-03-01,2319
1979-04-01,2374
1979-05-01,2592
1979-06-01,2461
1979-07-01,2524
1979-08-01,2678
1979-09-01,2399
1979-10-01,2794
1979-11-01,2415